t,x,y,z,accuracy
1487862073.1990001,14.599609375,-28.8330078125,-25.8544921875,3.0
1487862073.216,14.764404296875,-29.32586669921875,-26.8096923828125,3.0
1487862073.233,15.76385498046875,-29.0740966796875,-26.8096923828125,3.0
1487862073.25,16.1102294921875,-28.98712158203125,-26.8096923828125,3.0
1487862073.266,15.78216552734375,-29.64630126953125,-27.44598388671875,3.0
1487862073.283,15.66009521484375,-29.68902587890625,-27.39715576171875,3.0
1487862073.3,14.93377685546875,-29.833984375,-26.9744873046875,3.0
1487862073.317,15.36407470703125,-29.15191650390625,-27.8717041015625,3.0
1487862073.334,16.1102294921875,-27.97088623046875,-29.42657470703125,3.0
1487862073.3500001,15.80963134765625,-28.2745361328125,-28.35540771484375,3.0
1487862073.367,15.60516357421875,-28.47900390625,-27.6275634765625,3.0
1487862073.384,14.080810546875,-28.34014892578125,-29.10919189453125,3.0
1487862073.401,13.75579833984375,-28.30963134765625,-29.42657470703125,3.0
1487862073.417,14.2608642578125,-25.4302978515625,-28.93524169921875,3.0
1487862073.434,14.1876220703125,-25.06561279296875,-29.5684814453125,3.0
1487862073.451,13.92364501953125,-23.736572265625,-31.878662109375,3.0
1487862073.468,14.8590087890625,-21.98944091796875,-32.78656005859375,3.0
1487862073.4850001,14.8590087890625,-21.98944091796875,-32.78656005859375,3.0
1487862073.501,14.03350830078125,-21.22039794921875,-33.5723876953125,3.0
1487862073.5180001,12.24212646484375,-20.68939208984375,-34.4940185546875,3.0
1487862073.535,12.8631591796875,-21.7315673828125,-34.0911865234375,3.0
1487862073.552,13.25225830078125,-22.38311767578125,-33.83941650390625,3.0
1487862073.569,13.39569091796875,-23.68621826171875,-32.02056884765625,3.0
1487862073.585,13.42010498046875,-23.90594482421875,-31.7138671875,3.0
1487862073.602,13.25225830078125,-26.446533203125,-29.58984375,3.0
1487862073.619,13.47198486328125,-26.96380615234375,-29.09088134765625,3.0
1487862073.636,14.2608642578125,-28.8177490234375,-27.301025390625,3.0
1487862073.652,14.2608642578125,-29.28466796875,-27.60009765625,3.0
1487862073.6690001,14.2608642578125,-29.833984375,-27.9541015625,3.0
1487862073.686,15.32135009765625,-28.52935791015625,-27.83966064453125,3.0
1487862073.703,15.7745361328125,-27.97088623046875,-27.79083251953125,3.0
1487862073.72,15.14129638671875,-28.289794921875,-26.86614990234375,3.0
1487862073.736,15.11077880859375,-28.3416748046875,-26.83868408203125,3.0
1487862073.753,15.26947021484375,-28.8177490234375,-27.301025390625,3.0
1487862073.77,15.6768798828125,-28.8177490234375,-27.301025390625,3.0
1487862073.787,16.61529541015625,-28.8177490234375,-27.301025390625,3.0
1487862073.8040001,15.88134765625,-28.6346435546875,-26.76544189453125,3.0
1487862073.82,15.26947021484375,-28.47900390625,-26.31988525390625,3.0
1487862073.8370001,15.66619873046875,-28.34625244140625,-26.70440673828125,3.0
1487862073.854,15.7745361328125,-28.30963134765625,-26.8096923828125,3.0
