t,x,y,floor,type,accuracy
1487862071.974,63.151,70.33,0,1,0.0
1487862092.317,76.724,61.468,0,1,0.0
1487862104.409,87.23,61.581,0,1,0.0
1487862118.514,96.129,71.601,0,1,0.0
1487862127.275,96.092,80.014,0,1,0.0
1487862141.9520001,87.342,90.483,0,1,0.0
1487862153.269,77.06,90.446,0,1,0.0
1487862167.434,67.71300000000001,80.089,0,1,0.0
1487862182.364,68.086,65.32000000000001,0,1,0.0
